location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Howth,6,Grey,BELCARRA (Carrajames),20/08/2003,0,22.7,12.7,,329700,237200,53.36931,-6.05217,Dublin
Howth,1,Grey,BELCARRA (Carrajames),20/08/2003,0,,,,330200,238200,53.37816,-6.04425,Dublin
Ireland's Eye,1,Grey,MACROOM (Renaniree),20/08/2003,0,,,,329000,240500,53.39911,-6.06133,Dublin
Ireland's Eye,21,Grey,MACROOM (Renaniree),20/08/2003,0,,,,329100,240600,53.39998,-6.05979,Dublin
Ireland's Eye,6,Grey,MACROOM (Renaniree),20/08/2003,0,,,,329000,241000,53.4036,-6.06113,Dublin
Dundalk Hrb,1,Grey,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,309100,307800,54.008,-6.33669,Louth
Dundalk Hbr,18,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,309100,307800,54.008,-6.33669,Louth
Carnsore,56,Grey,CLOGHANE,19/08/2003,0,,,,308700,101400,52.15424,-6.41252,Wexford
Tuskar Rock,3,Grey,ROADS,19/08/2003,0,18.4,13.6,,322600,107200,52.20343,-6.20744,Wexford
Tuskar Rock,3,Grey,ROADS,19/08/2003,0,18.4,13.6,,322500,107100,52.20255,-6.20894,Wexford
Tuskar Rock,9,Grey,ROADS,19/08/2003,0,18.4,13.6,,322500,107100,52.20255,-6.20894,Wexford
Tuskar Rock,2,Grey,ROADS,19/08/2003,0,18.4,13.6,,322500,107200,52.20345,-6.2089,Wexford
Carnsore,2,Grey,ROADS,19/08/2003,0,18.4,13.6,,312800,104900,52.18486,-6.35148,Wexford
Carnsore,7,Grey,ROADS,19/08/2003,0,18.4,13.6,,312800,105000,52.18576,-6.35145,Wexford
Carnsore,1,Grey,ROADS,19/08/2003,0,18.4,13.6,,313800,107100,52.20441,-6.33613,Wexford
Greenore Pt,20,Grey,INISHBOFIN,19/08/2003,0,18.4,13.6,,315700,111400,52.24265,-6.30688,Wexford
Killala Bay,107,Harbour,SCARRIFF (Fossabeg),13/08/2003,0,,,,126400,328100,54.1966,-9.12841,Sligo
Killala Bay,1,Harbour,KILCAR (Cronasillagh),13/08/2003,0,,,,123200,328700,54.20152,-9.17758,Sligo
Castle Cove,1,Grey,VENTRY THE BOAT SLIP,18/08/2003,0,,,,62000,60000,51.77585,-10.00016,Kerry
Castle Cove,12,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,61900,60000,51.77583,-10.0016,Kerry
Castle Cove,25,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,62000,60000,51.77585,-10.00016,Kerry
Castle Cove,2,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,58500,59300,51.76869,-10.05055,Kerry
Castle Cove,24,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,58400,59300,51.76867,-10.05199,Kerry
Castle Cove,21,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0,,,,58500,59700,51.77228,-10.05071,Kerry
Kinnagoe Bay,3,Grey,CLONMEL (Redmondstown),12/08/2003,1.1,,,,262000,447100,55.26695,-7.02545,Donegal
Kinnagoe Bay,1,Grey,FETHARD (PARSONSHILL),12/08/2003,1.1,,,,261300,447300,55.26884,-7.03641,Donegal
Inner Bay,148,Harbour,BALLINASLOE (Pollboy Lock),13/08/2003,0,,,,190800,374700,54.62042,-8.14317,Donegal
Ardmore Pt,8,Grey,NEWPORT (Ardagh Lodge),20/08/2003,0,,,,321100,187800,52.92769,-6.19996,Wicklow
Slyne Hd,1,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,63800,238400,53.37844,-10.04741,Galway
Slyne Hd,1,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,64000,238500,53.37939,-10.04445,Galway
Slyne Hd,3,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,64500,238000,53.37502,-10.03673,Galway
Slyne Hd,1,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,64700,237800,53.37328,-10.03364,Galway
Slyne Hd,3,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,64600,237800,53.37325,-10.03514,Galway
Slyne Hd,5,Grey,BELCARRA (Carrajames),15/08/2003,0,19.3,9,6.7,64500,238200,53.37682,-10.03681,Galway
Skerries,1,Grey,CASTLEBAR (Burren),15/08/2003,0,19.3,9,6.7,64600,228800,53.29244,-10.0313,Galway
Skerries,6,Grey,COOMCLOGH,15/08/2003,0,19.3,9,6.7,65700,225000,53.2586,-10.01321,Galway
Skerries,3,Grey,SKIBEREEN (WaterTreatmentPlant),15/08/2003,0,19.3,9,6.7,67300,224500,53.25451,-9.98904,Galway
Bertraghboy,2,Harbour,MACROOM (Renaniree),15/08/2003,0,19.3,9,6.7,73700,241700,53.41053,-9.90006,Galway
Bertraghboy,7,Harbour,MACROOM (Renaniree),15/08/2003,0,19.3,9,6.7,78300,240100,53.39724,-9.8303,Galway
Bertraghboy,9,Harbour,LISGLENNON WATERWORKS,15/08/2003,0,19.3,9,6.7,80200,239900,53.39588,-9.80168,Galway
Bertraghboy,7,Harbour,LISGLENNON WATERWORKS,15/08/2003,0,19.3,9,6.7,80600,239300,53.39058,-9.79544,Galway
Bertraghboy,6,Harbour,LISGLENNON WATERWORKS,15/08/2003,0,19.3,9,6.7,80200,239100,53.38869,-9.80138,Galway
Bertraghboy,1,Harbour,BALLYHAHILL_Glenbawn,15/08/2003,0,19.3,9,6.7,74800,235400,53.35421,-9.88103,Galway
Mweenish,6,Harbour,M.BALLYVOURNEY (Knockacommeen),15/08/2003,0,19.3,9,6.7,76200,232000,53.32401,-9.85869,Galway
Mweenish,16,Harbour,M.BALLYVOURNEY (Knockacommeen),15/08/2003,0,19.3,9,6.7,76200,231800,53.32222,-9.85861,Galway
Mweenish,4,Harbour,M.BALLYVOURNEY (Knockacommeen),15/08/2003,0,19.3,9,6.7,76100,231700,53.32129,-9.86007,Galway
Mweenish,18,Harbour,BALLINGEARY (Voc.Sch.),15/08/2003,0,19.3,9,6.7,78700,230000,53.30663,-9.82042,Galway
Lambay,6,Grey,BALLINA (Shanaghy),20/08/2003,0,,,,332000,249800,53.48188,-6.01236,Dublin
Lambay,13,Grey,BALLINA (Shanaghy),20/08/2003,0,,,,333100,251200,53.49417,-5.99521,Dublin
Lambay,23,Grey,BALLINA (Shanaghy),20/08/2003,0,,,,332900,251400,53.49602,-5.99814,Dublin
Lambay,17,Grey,BALLINA GOLF CLUB,20/08/2003,0,,,,331000,251600,53.49829,-6.02667,Dublin
Lambay,2,Grey,BALLINA GOLF CLUB,20/08/2003,0,,,,330800,251700,53.49924,-6.02964,Dublin
Lambay,3,Grey,BALLINA (Shanaghy),20/08/2003,0,,,,330300,250500,53.48859,-6.03766,Dublin
Skerries,6,Grey,BALLINA (Attymass),20/08/2003,0,,,,326700,258500,53.5613,-6.08863,Dublin
Skerries,3,Grey,BALLINA (Attymass),20/08/2003,0,,,,326900,259800,53.57293,-6.08509,Dublin
Skerries,3,Grey,BALLINA (Attymass),20/08/2003,0,,,,326800,259900,53.57385,-6.08656,Dublin
Skerries,1,Grey,CASTLEMAHON W.W.,20/08/2003,0,,,,327500,260900,53.58266,-6.07559,Dublin
Skerries,30,Grey,CASTLEMAHON W.W.,20/08/2003,0,,,,327800,261300,53.58618,-6.0709,Dublin
Skerries,1,Grey,CASTLEMAHON W.W.,20/08/2003,0,,,,326600,261200,53.58557,-6.08905,Dublin
Rockabill,5,Grey,CASTLEMAHON W.W.,20/08/2003,0,,,,332200,262600,53.59676,-6.00395,Dublin
Lambay Is,1,Harbour,BALLINA (Shanaghy),20/08/2003,0,,,,332000,249800,53.48188,-6.01236,Dublin
Lambay Is,30,Harbour,BALLINA (Shanaghy),20/08/2003,0,,,,330300,250500,53.48859,-6.03766,Dublin
Skerries,3,Harbour,BALLINA (Attymass),20/08/2003,0,,,,326800,259900,53.57385,-6.08656,Dublin
North narrows,9,Grey,INISHCARRA (GEN.STN.),14/08/2003,0,,,,75400,310000,54.02423,-9.90198,Mayo
Clare Is,1,Grey,CARHEENY BEG,14/08/2003,0,,,,67500,286500,53.81127,-10.01227,Mayo
North narrows,5,Harbour,PATRICKSWELL (Dooneen),14/08/2003,0,,,,74600,307600,54.00249,-9.91319,Mayo
Achill Sound,5,Harbour,PATRICKSWELL (Dooneen),14/08/2003,0,,,,78800,306800,53.99631,-9.84886,Mayo
Achill Sound,1,Harbour,PATRICKSWELL (Dooneen),14/08/2003,0,,,,75700,305300,53.98211,-9.89549,Mayo
Achill Sound,5,Harbour,PATRICKSWELL (Dooneen),14/08/2003,0,,,,76700,304700,53.97696,-9.88001,Mayo
Achill Sound,22,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,77000,304500,53.97523,-9.87536,Mayo
Achill Sound,2,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,77100,304400,53.97436,-9.8738,Mayo
Achill Sound,1,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,79900,301800,53.95167,-9.83012,Mayo
Achill Sound,8,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,81300,303000,53.96277,-9.80928,Mayo
Achill Sound,13,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,81000,302700,53.96,-9.81373,Mayo
Achill Sound,9,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,80900,302500,53.95819,-9.81517,Mayo
Achill Sound,2,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,81000,302300,53.95641,-9.81357,Mayo
Achill Sound,1,Harbour,ARDRAHAN (Grannagh),14/08/2003,0,,,,81700,302200,53.95568,-9.80288,Mayo
Achill Sound,5,Harbour,TULLA,14/08/2003,0,,,,73300,298200,53.91777,-9.9291,Mayo
Clew Is,1,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,93200,285800,53.81089,-9.62206,Mayo
Clew Is,20,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,93300,285700,53.81002,-9.62051,Mayo
Clew Is,20,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,94100,285300,53.80659,-9.60823,Mayo
Clew Is,19,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,94200,285200,53.80571,-9.60668,Mayo
Clew Is,15,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,94500,285200,53.80577,-9.60213,Mayo
Clew Is,3,Harbour,CROAGH (Smithfield),14/08/2003,0,,,,94400,284800,53.80216,-9.60351,Mayo
Clew Is,1,Grey,KNOCK AIRPORT,14/08/2003,0,,,,89000,293400,53.87827,-9.68853,Mayo
Clew Is,16,Harbour,KNOCK AIRPORT,14/08/2003,0,,,,89000,293400,53.87827,-9.68853,Mayo
Clew Is,1,Harbour,CLOONACOOL (Lough Easkey),14/08/2003,0,,,,94500,290200,53.85067,-9.60384,Mayo
Mutton Is,9,Grey,BANGOR ERRIS (Main St.),16/08/2003,0.5,,,,97500,172300,52.79232,-9.52017,Clare
Mutton Is,17,Harbour,TRALEE (Lisaboula),16/08/2003,0.5,,,,98900,174600,52.81325,-9.50014,Clare
Greencastle,2,Grey,MALLOW (Hazelwood),20/08/2003,0.2,,,,324500,311200,54.03504,-6.10054,Down
Greencastle,7,Grey,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,324500,308600,54.0117,-6.1016,Down
Greencastle,3,Grey,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325800,308800,54.01318,-6.0817,Down
Greencastle,1,Grey,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325900,308500,54.01046,-6.0803,Down
Greencastle,15,Grey,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325400,308400,54.00969,-6.08797,Down
Black Rock,13,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,321100,311600,54.03945,-6.15224,Louth
Greencastle,33,Harbour,MALLOW_(SpaHouse),20/08/2003,0.2,,,,322200,313700,54.05804,-6.13462,Down
Greencastle,13,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323600,311600,54.03885,-6.1141,Down
Greencastle,18,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323800,311600,54.0388,-6.11105,Down
Greencastle,19,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323900,310900,54.0325,-6.10981,Down
Greencastle,27,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,324400,311200,54.03507,-6.10206,Down
Greencastle,54,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,324200,311000,54.03332,-6.1052,Down
Greencastle,37,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323800,311200,54.03521,-6.11122,Down
Greencastle,1,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323800,311300,54.03611,-6.11118,Down
Greencastle,45,Harbour,MALLOW (Hazelwood),20/08/2003,0.2,,,,323700,311100,54.03434,-6.11278,Down
Greencastle,3,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,324500,308600,54.0117,-6.1016,Down
Greencastle,15,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,324900,308700,54.0125,-6.09546,Down
Greencastle,2,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,324700,308700,54.01255,-6.09851,Down
Greencastle,4,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325500,308700,54.01236,-6.08632,Down
Greencastle,7,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325600,308600,54.01143,-6.08483,Down
Greencastle,19,Harbour,PATRICKSWELL (Dooneen),20/08/2003,0.2,,,,325600,308500,54.01054,-6.08488,Down
Fergus Estuary,2,Grey,ARDFERT (Liscahane),16/08/2003,0,,,,128300,157400,52.66342,-9.06045,Clare
Fergus Estuary,2,Harbour,ARDFERT (Liscahane),16/08/2003,0,23.6,11.3,4,129900,158800,52.67621,-9.0371,Clare
Fergus Estuary,6,Harbour,ARDFERT (Liscahane),16/08/2003,0,23.6,11.3,4,130400,158900,52.67717,-9.02973,Clare
Ballydehob,2,Grey,0,18/08/2003,0,19.4,12.1,,101700,31300,51.52636,-9.41712,Cork
Ringarogy Is,4,Grey,0,18/08/2003,0,19.4,12.1,,103200,28600,51.50236,-9.39478,Cork
Ringarogy Is,17,Grey,0,18/08/2003,0,19.4,12.1,,98700,26500,51.48271,-9.45896,Cork
Ringarogy Is,2,Grey,0,18/08/2003,0,19.4,12.1,,98500,26400,51.48177,-9.46181,Cork
Ringarogy Is,12,Grey,0,18/08/2003,0,19.4,12.1,,94800,25700,51.47481,-9.51484,Cork
Ringarogy Is,10,Grey,0,18/08/2003,0,19.4,12.1,,95300,25900,51.4767,-9.50771,Cork
Ballydehob,15,Harbour,0,18/08/2003,0,19.4,12.1,,100200,33600,51.54677,-9.43938,Cork
Ballydehob,2,Harbour,0,18/08/2003,0,19.4,12.1,,101400,32800,51.53979,-9.42186,Cork
Ringarogy Is,11,Harbour,0,18/08/2003,0,19.4,12.1,,103600,28200,51.49884,-9.38891,Cork
Ringarogy Is,3,Harbour,0,18/08/2003,0,19.4,12.1,,103400,28300,51.4997,-9.39181,Cork
Ringarogy Is,8,Harbour,0,18/08/2003,0,19.4,12.1,,103700,28100,51.49796,-9.38744,Cork
Ringarogy Is,11,Harbour,0,18/08/2003,0,19.4,12.1,,103500,27900,51.49612,-9.39027,Cork
Toe Head,7,Grey,0,18/08/2003,0,,,,115200,24600,51.46835,-9.22104,Cork
Castletownsend,3,Grey,0,18/08/2003,0,,,,121000,29700,51.51501,-9.13874,Cork
Castle Cove,2,Grey,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,69600,61900,51.79474,-9.89082,Kerry
Castle Cove,66,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,69200,62800,51.80273,-9.89696,Kerry
Castle Cove,1,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,67100,63700,51.81032,-9.92773,Kerry
Sneem Hbr,21,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,71200,63400,51.80858,-9.8682,Kerry
Sneem Hbr,25,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,71700,63000,51.80511,-9.86081,Kerry
Sneem Hbr,3,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,71800,62900,51.80423,-9.85932,Kerry
Sneem Hbr,3,Harbour,VENTRY THE BOAT SLIP,18/08/2003,0.2,,,,75000,65300,51.82651,-9.81382,Kerry
Broadwater,22,Harbour,BALLINAMULT (Doon),12/08/2003,1,,,,220700,433800,55.15095,-7.67608,Donegal
Broadwater,8,Harbour,BALLINAMULT (Doon),12/08/2003,1,,,,220600,433700,55.15006,-7.67765,Donegal
Broadwater,1,Harbour,BALLINAMULT (Doon),12/08/2003,1,,,,220000,432300,55.13751,-7.68716,Donegal
Great Blasket,1,Grey,CLOGHANE,17/08/2003,2.6,,,,28400,99100,52.11763,-10.50602,Kerry
Inishvickallane,1,Grey,DEREEN,17/08/2003,2.6,,,,20300,91300,52.04504,-10.62004,Kerry
Inishvickallane,25,Grey,DEREEN,17/08/2003,2.6,,,,20500,91400,52.046,-10.61718,Kerry
Inishvickallane,4,Grey,DEREEN,17/08/2003,2.6,,,,20700,91300,52.04516,-10.61422,Kerry
Wexford Hbr,25,Grey,DERRIANA,19/08/2003,0,18.4,13.6,,308200,120900,52.32951,-6.41359,Wexford
Wexford Hbr,14,Harbour,CLEGGAN (Cloch Breac),19/08/2003,0,18.4,13.6,,309200,120100,52.32212,-6.39918,Wexford
Wexford Hbr,3,Harbour,DERRIANA,19/08/2003,0,18.4,13.6,,308200,120900,52.32951,-6.41359,Wexford
